hour_of_day,mean,p25,p75
0,280.3994318959617,242.03,325.88
1,281.473189596167,240.78,328.28
2,283.46275838466806,240.66,333.96
3,285.53960301163585,242.11,335.88
4,286.4175770020534,241.27,336.56
5,286.7375154004107,238.19,338.43
6,287.2957837097878,239.67,339.76
7,285.0143052703628,238.74,333.97
8,282.3378439425052,238.0,329.5
9,281.0428678986995,238.44,327.41
10,281.80290212183434,239.9,326.71
11,284.18652977412734,243.26,327.31
12,285.7635112936345,245.31,327.82
13,286.4677002053388,245.78,331.38
14,286.7765297741273,244.97,332.26
15,285.3523134839151,243.81,331.98
16,283.731273100616,243.12,329.87
17,282.3561054072553,242.5,328.89
18,280.8277275838467,241.71,326.97
19,280.0461875427789,242.12,325.16
20,279.38700889801504,241.84,325.7
21,278.91725530458586,241.79,324.1
22,279.3677344284737,240.83,323.86
23,280.43052703627654,243.19,325.46
