ym,carbon_intensity_gCO2_per_kWh
2019-01,282.62610215053763
2019-02,241.5825148809524
2019-03,279.72896505376343
2019-04,269.4041111111111
2019-05,299.450376344086
2019-06,292.95091666666667
2019-07,348.5750806451613
2019-08,352.05943548387097
2019-09,420.9640138888889
2019-10,347.60696236559136
2019-11,285.0526805555555
2019-12,193.53961021505376
2020-01,237.5095698924731
2020-02,235.78600574712644
2020-03,210.9175
2020-04,126.10540277777778
2020-05,223.87923387096774
2020-06,299.47468055555555
2020-07,364.66119623655914
2020-08,340.8643548387097
2020-09,286.1238611111111
2020-10,239.3472446236559
2020-11,190.26859722222224
2020-12,243.91688172043013
2021-01,265.85673387096773
2021-02,309.04863095238096
2021-03,263.59047043010753
2021-04,298.1452083333333
2021-05,294.61725806451614
2021-06,320.93569444444444
2021-07,338.4057526881721
2021-08,342.5912231182796
2021-09,290.8664444444444
2021-10,220.82272849462365
2021-11,281.7704722222222
2021-12,228.70591397849464
2022-01,292.10926075268816
2022-02,269.1637202380952
2022-03,278.7579301075269
2022-04,254.29455555555555
2022-05,337.07646505376346
2022-06,356.66672222222223
2022-07,352.4385752688172
2022-08,294.5407258064516
2022-09,263.95130555555556
2022-10,285.7403494623656
2022-11,279.4307777777778
2022-12,251.98602150537636
